date,region,state_po,special,runoff,offyear,candidate,party,writein,voteshare,
11/02/1982,Massachusetts,MA,FALSE,FALSE,FALSE,Shipman,libertarian,FALSE,0.008739404971286480,
11/02/1982,Massachusetts,MA,FALSE,FALSE,FALSE,Rich,independent,FALSE,0.030761066677592100,
11/02/1982,Massachusetts,MA,FALSE,FALSE,FALSE,Sears,republican,FALSE,0.36565176802484000,
11/02/1982,Massachusetts,MA,FALSE,FALSE,FALSE,Dukakis,democratic,FALSE,0.5946136429925270,
11/02/1982,Georgia,GA,FALSE,FALSE,FALSE,Dixon,socialist workers,TRUE,9.40942191077986E-06,
11/02/1982,Georgia,GA,FALSE,FALSE,FALSE,Others,independent,TRUE,0.00037979848439875100,
11/02/1982,Georgia,GA,FALSE,FALSE,FALSE,Bell,republican,FALSE,0.371668743867837,
11/02/1982,Georgia,GA,FALSE,FALSE,FALSE,Harris,democratic,FALSE,0.6279420482258540,
11/02/1982,Wyoming,WY,FALSE,FALSE,FALSE,Morton,republican,FALSE,0.36859185429088400,
11/02/1982,Wyoming,WY,FALSE,FALSE,FALSE,Herschler,democratic,FALSE,0.6314081457091160,
11/02/1982,Arizona,AZ,FALSE,FALSE,FALSE,Beversdorf,independent,TRUE,2.75344042380955E-06,
11/02/1982,Arizona,AZ,FALSE,FALSE,FALSE,Greeneltch,no party affiliation,TRUE,1.78973627547621E-05,
11/02/1982,Arizona,AZ,FALSE,FALSE,FALSE,Duncan,republican,TRUE,3.85481659333337E-05,
11/02/1982,Arizona,AZ,FALSE,FALSE,FALSE,Steiger,libertarian,FALSE,0.0504554190460981,
11/02/1982,Arizona,AZ,FALSE,FALSE,FALSE,Corbet,republican,FALSE,0.3247366334234630,
11/02/1982,Arizona,AZ,FALSE,FALSE,FALSE,Babbitt,democratic,FALSE,0.6247487485613270,
11/02/1982,Maine,ME,FALSE,FALSE,FALSE,Vachon,independent,FALSE,0.005589893437903950,
11/02/1982,Maine,ME,FALSE,FALSE,FALSE,Warren,independent,FALSE,0.007929697259366280,
11/02/1982,Maine,ME,FALSE,FALSE,FALSE,Cragin,republican,FALSE,0.3757351263863390,
11/02/1982,Maine,ME,FALSE,FALSE,FALSE,Brennan,democratic,FALSE,0.6106214492879570,
11/02/1982,New Hampshire,NH,FALSE,FALSE,FALSE,Thomson,independent,FALSE,0.016932778461930400,
11/02/1982,New Hampshire,NH,FALSE,FALSE,FALSE,Gallen,democratic,FALSE,0.46823290444038700,
