date,state,county,candidate,party,candidatevotes,totalvotes
11/8/1960,AL,Tallapoosa,Byrd,southern democrat,38,7684
11/8/1960,AL,Tallapoosa,Faubus,independent,26,7684
11/8/1960,AL,Tallapoosa,Other,other,10,7684
11/8/1960,AL,Tuscaloosa,Kennedy,democrat,8254,14213
11/8/1960,AL,Tuscaloosa,Nixon,republican,5598,14213
11/8/1960,AL,Tuscaloosa,Byrd,southern democrat,140,14213
11/8/1960,AL,Tuscaloosa,Faubus,independent,117,14213
11/8/1960,AL,Tuscaloosa,Other,other,104,14213
11/8/1960,AL,Walker,Kennedy,democrat,8109,13572
11/8/1960,AL,Walker,Nixon,republican,5463,13572
11/8/1960,AL,Walker,Byrd,southern democrat,0,13572
11/8/1960,AL,Walker,Faubus,independent,0,13572
11/8/1960,AL,Walker,Other,other,0,13572
11/8/1960,AL,Washington,Kennedy,democrat,1929,2826
11/8/1960,AL,Washington,Nixon,republican,792,2826
11/8/1960,AL,Washington,Byrd,southern democrat,55,2826
11/8/1960,AL,Washington,Faubus,independent,36,2826
